2025-03-24 11:35:55,218 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(54.0, -126.0), points=4
2025-03-24 11:35:55,286 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -127.0), points=4
2025-03-24 11:35:55,326 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -128.0), points=4
2025-03-24 11:35:55,332 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -129.0), points=4
2025-03-24 11:35:55,354 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -130.0), points=4
2025-03-24 11:35:55,355 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -132.0), points=4
2025-03-24 11:35:55,370 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -132.0), points=4
2025-03-24 11:35:55,382 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -134.0), points=4
2025-03-24 11:35:55,384 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(53.0, -134.0), points=4
2025-03-24 11:35:55,388 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(52.0, -134.0), points=4
2025-03-24 11:35:55,415 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(52.0, -136.0), points=4
2025-03-24 11:35:55,416 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(51.0, -136.0), points=4
